first_two_cards,royal_flush,straight_flush,four_of_a_kind,full_house,flush,straight,three_of_a_kind,two_pairs,one_pair,high_card
other: A 10,0.000044365572315882877,0.00015103173554343105,0.0012592270950933565,0.022241310955464517,0.019522739715682757,0.09769487813626838,0.044274953274556814,0.22658536124903245,0.4401064773735581,0.14811965489248427
other: A J,0.000044365572315882877,0.00013026487190620929,0.0012592270950933565,0.022241310955464517,0.01954350657931998,0.09485548150805188,0.044274953274556814,0.22658536124903245,0.4429458740017746,0.14811965489248427
other: A Q,0.000044365572315882877,0.00010572221488040175,0.0012592270950933565,0.022241310955464517,0.019568049236345787,0.08405482452000226,0.044274953274556814,0.22658536124903245,0.4472049689440994,0.15466121693820914
other: A K,0.000044365572315882877,0.00007645981611886198,0.0012592270950933565,0.022241310955464517,0.019597311635107327,0.05968585399006966,0.044274953274556814,0.22658536124903245,0.4528837622005324,0.17335139421170873
same suit: 2 3,0.0000018878966942928884,0.0016906114897392815,0.0012592270950933565,0.022241310955464517,0.06412807491174083,0.17045583265683703,0.04315873435405614,0.22015188128905586,0.3814721818422096,0.0954402575091091
same suit: 2 4,0.0000018878966942928884,0.0014626479639034153,0.0012592270950933565,0.022241310955464517,0.0643560384375767,0.13230804810360777,0.04315873435405614,0.22015188128905586,0.39629972247918593,0.118760501425362
same suit: 2 5,0.0000018878966942928884,0.0012903773905491892,0.0012592270950933565,0.022241310955464517,0.06452830901093093,0.11413043478260869,0.04315873435405614,0.22015188128905586,0.40843134663671204,0.12480649058883497
same suit: 2 6,0.0000018878966942928884,0.000814155449413808,0.0012592270950933565,0.022241310955464517,0.0650045309520663,0.10534180369650173,0.043423511865430725,0.2213993090298099,0.4178670543147879,0.12264720874473749
same suit: 2 7,0.0000018878966942928884,0.0004870773471275652,0.0012592270950933565,0.022241310955464517,0.06533160905435255,0.10906426400347373,0.0436882893768053,0.2226467367705639,0.41651909607506277,0.118760501425362
same suit: 2 8,0.0000018878966942928884,0.0005578734731635485,0.0012592270950933565,0.022241310955464517,0.06526081292831656,0.11186495874945723,0.0436882893768053,0.2226467367705639,0.41112726311616227,0.121351639638279
same suit: 2 9,0.0000018878966942928884,0.0005550416281221092,0.0012592270950933565,0.022241310955464517,0.065263644773358,0.10927382053654024,0.0436882893768053,0.2226467367705639,0.41112726311616227,0.12394277785119598
same suit: 2 10,0.00002312673450508788,0.0005196435651041176,0.0012592270950933565,0.022241310955464517,0.0652778039985652,0.1118125696161906,0.0436882893768053,0.2226467367705639,0.4124752213558874,0.1200560705318205
same suit: 2 J,0.00002312673450508788,0.00046678245766391664,0.0012592270950933565,0.022241310955464517,0.0653306651060054,0.10992797674111272,0.0436882893768053,0.2226467367705639,0.41651909607506277,0.117896788687723
same suit: 2 Q,0.00002312673450508788,0.0003681398553871132,0.0012592270950933565,0.022241310955464517,0.0654293077082822,0.09714219637901414,0.0436882893768053,0.2226467367705639,0.4232588872736884,0.12394277785119598
same suit: 2 K,0.00002312673450508788,0.0002138043006286696,0.0012592270950933565,0.022241310955464517,0.06558364326304064,0.06438624478468538,0.0436882893768053,0.2226467367705639,0.43269459495176427,0.14726302176744888
pair: 2,0.0000018878966942928884,0.00013592856198908795,0.008423795049934868,0.08547641073080481,0.01958032056485869,0.029940153674790915,0.11773773339122884,0.39667352602465594,0.34203024410504257,0
other: 2 3,0.0000018878966942928884,0.00016094319318846873,0.0012592270950933565,0.022241310955464517,0.01955530593365931,0.18243217731125752,0.04400498404727293,0.22530631123864903,0.4017746228926353,0.10326322943608526
